epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5231,3.50897,3.27428,2.47874,0,0,0,0,nan,nan,nan,0.0706522,0.00326087,0.00326087
2,27.0489,1.66503,1.60317,1.23857,0.06867,0.1108,0.05231,0.02181,3.46766,5.20695,2.74578,0.0406521,0.00659412,0.00659412
3,40.1405,1.29988,1.30074,1.0679,0.22924,0.34919,0.18571,0.11123,1.5075,2.47517,1.2551,0.0106517,0.00992706,0.00992706
4,53.4268,1.12306,1.09439,0.99292,0.09944,0.31079,0.10651,0.0471,1.65572,3.4917,1.25863,0.00999891,0.00999891,0.00999891
5,66.8398,0.99922,0.94177,0.9537,0.31154,0.58933,0.37598,0.28336,0.87982,2.14548,0.93679,0.00999807,0.00999807,0.00999807
6,80.5388,0.92937,0.86595,0.93571,0.4774,0.54029,0.55265,0.4173,0.87441,1.24568,0.93506,0.00999698,0.00999698,0.00999698
7,94.093,0.86429,0.79597,0.92024,0.67958,0.74766,0.79378,0.62224,0.79237,0.89572,0.91715,0.00999566,0.00999566,0.00999566
8,106.926,0.77952,0.69475,0.89933,0.78168,0.77611,0.85162,0.69551,0.69237,0.69275,0.88443,0.00999409,0.00999409,0.00999409
9,119.865,0.7552,0.62748,0.88939,0.87557,0.86912,0.94603,0.6874,1.01739,0.61648,0.92804,0.00999228,0.00999228,0.00999228
10,132.459,0.72102,0.58719,0.879,0.93327,0.91147,0.97249,0.81185,0.64702,0.464,0.864,0.00999023,0.00999023,0.00999023
11,145.641,0.66942,0.53805,0.86922,0.94734,0.93045,0.98005,0.8057,0.739,0.45124,0.87612,0.00998794,0.00998794,0.00998794
12,158.216,0.64493,0.52254,0.85811,0.95138,0.95371,0.98455,0.83771,0.62025,0.42069,0.85385,0.00998541,0.00998541,0.00998541
13,170.961,0.67012,0.50473,0.86133,0.93412,0.91539,0.97129,0.81084,0.68895,0.475,0.86056,0.00998264,0.00998264,0.00998264
14,184.187,0.6032,0.46252,0.8531,0.94013,0.91046,0.96871,0.78854,0.77823,0.483,0.87857,0.00997963,0.00997963,0.00997963
15,197.341,0.61813,0.46073,0.85201,0.96425,0.9426,0.98663,0.81591,0.64708,0.39485,0.85784,0.00997638,0.00997638,0.00997638
16,209.954,0.56914,0.43881,0.84594,0.93019,0.91529,0.97425,0.82874,0.62482,0.41518,0.84848,0.00997288,0.00997288,0.00997288
17,222.449,0.57207,0.43227,0.84246,0.95175,0.95683,0.98914,0.84879,0.61742,0.39909,0.84471,0.00996915,0.00996915,0.00996915
18,235.293,0.60024,0.44359,0.8458,0.95548,0.96534,0.98818,0.80303,0.7638,0.40037,0.86782,0.00996518,0.00996518,0.00996518
19,248.198,0.54208,0.40912,0.83655,0.94206,0.92787,0.97805,0.81328,0.66675,0.41186,0.85721,0.00996097,0.00996097,0.00996097
20,261.204,0.55568,0.41214,0.83756,0.9749,0.96863,0.99157,0.88186,0.51706,0.33673,0.82761,0.00995652,0.00995652,0.00995652
21,274.557,0.54824,0.40995,0.83475,0.77575,0.75155,0.83642,0.6558,0.84765,0.70141,0.87993,0.00995183,0.00995183,0.00995183
22,287.884,0.51904,0.38511,0.8317,0.90641,0.91121,0.97189,0.82267,0.6778,0.43252,0.84631,0.0099469,0.0099469,0.0099469
23,300.979,0.50059,0.37508,0.82615,0.98372,0.97607,0.99281,0.82356,0.71211,0.38178,0.85176,0.00994173,0.00994173,0.00994173
24,315.893,0.54975,0.3979,0.83115,0.79592,0.76847,0.87369,0.67772,0.8204,0.76174,0.88285,0.00993632,0.00993632,0.00993632
25,330.703,0.52663,0.38338,0.83083,0.96544,0.96164,0.98647,0.82117,0.67641,0.38697,0.84805,0.00993068,0.00993068,0.00993068
26,345.277,0.49251,0.36064,0.82361,0.97738,0.97091,0.9919,0.85649,0.61497,0.3527,0.8373,0.0099248,0.0099248,0.0099248
27,358.185,0.5118,0.3744,0.82656,0.97798,0.97268,0.991,0.84355,0.62492,0.34256,0.84085,0.00991868,0.00991868,0.00991868
28,371.494,0.48703,0.35164,0.82217,0.97091,0.97172,0.99093,0.84052,0.68266,0.35051,0.84574,0.00991232,0.00991232,0.00991232
29,384.555,0.4855,0.36371,0.82397,0.99128,0.97495,0.99375,0.86395,0.60735,0.31566,0.83413,0.00990573,0.00990573,0.00990573
30,397.95,0.51226,0.35472,0.82385,0.96977,0.96708,0.98976,0.84017,0.67779,0.35651,0.84309,0.0098989,0.0098989,0.0098989
31,411.042,0.50906,0.3527,0.8259,0.97659,0.96704,0.99208,0.83793,0.70032,0.36093,0.84519,0.00989183,0.00989183,0.00989183
32,424.076,0.46435,0.34351,0.81637,0.98678,0.98231,0.99376,0.84924,0.62334,0.32494,0.83595,0.00988453,0.00988453,0.00988453
33,437.502,0.45625,0.33393,0.81605,0.98811,0.98507,0.9943,0.84824,0.6758,0.33475,0.84149,0.00987699,0.00987699,0.00987699
34,450.579,0.46136,0.33117,0.81562,0.99042,0.98614,0.99452,0.85712,0.6138,0.32018,0.83526,0.00986922,0.00986922,0.00986922
35,463.783,0.4824,0.34337,0.81887,0.99188,0.98377,0.99398,0.83298,0.6991,0.3432,0.84386,0.00986121,0.00986121,0.00986121
36,476.762,0.45753,0.33,0.8154,0.9717,0.97111,0.99209,0.8398,0.71581,0.36284,0.84723,0.00985296,0.00985296,0.00985296
37,490.01,0.43017,0.31657,0.813,0.98943,0.98114,0.99396,0.85966,0.60789,0.3112,0.8291,0.00984449,0.00984449,0.00984449
38,503.32,0.43844,0.32446,0.81328,0.98974,0.98711,0.99424,0.86298,0.6099,0.3067,0.8289,0.00983578,0.00983578,0.00983578
39,516.368,0.43702,0.32244,0.8106,0.95807,0.95384,0.98817,0.85353,0.59615,0.35026,0.82935,0.00982683,0.00982683,0.00982683
40,529.761,0.47182,0.33505,0.81499,0.98511,0.98074,0.9934,0.86703,0.60399,0.31935,0.82753,0.00981765,0.00981765,0.00981765
41,542.826,0.45997,0.32418,0.81469,0.99276,0.98677,0.99455,0.84818,0.65885,0.3135,0.83889,0.00980825,0.00980825,0.00980825
42,556.018,0.4437,0.31502,0.81058,0.99368,0.9871,0.99444,0.83398,0.7186,0.33185,0.84732,0.0097986,0.0097986,0.0097986
43,569.132,0.45172,0.31997,0.81271,0.98004,0.9843,0.99262,0.87949,0.54672,0.29301,0.8212,0.00978873,0.00978873,0.00978873
44,582.1,0.4249,0.30322,0.8097,0.98862,0.98331,0.99351,0.86849,0.60943,0.30142,0.82981,0.00977863,0.00977863,0.00977863
45,595.189,0.42997,0.31023,0.80933,0.99163,0.98466,0.99414,0.87531,0.57427,0.29544,0.82394,0.00976829,0.00976829,0.00976829
46,608.408,0.42257,0.30571,0.80824,0.99014,0.98825,0.99412,0.85943,0.62533,0.31097,0.83212,0.00975773,0.00975773,0.00975773
47,621.68,0.43236,0.30647,0.80565,0.99132,0.99474,0.9948,0.86214,0.60262,0.28725,0.83076,0.00974694,0.00974694,0.00974694
48,634.78,0.41297,0.29691,0.80691,0.96171,0.9612,0.9916,0.85808,0.62642,0.3536,0.83158,0.00973591,0.00973591,0.00973591
49,647.825,0.41621,0.29737,0.80567,0.98735,0.98364,0.99405,0.846,0.65917,0.29966,0.83744,0.00972466,0.00972466,0.00972466
50,661.13,0.40725,0.29014,0.8055,0.99204,0.98999,0.99454,0.85907,0.62851,0.29958,0.83068,0.00971318,0.00971318,0.00971318
51,674.26,0.40002,0.29054,0.80277,0.99302,0.98237,0.99418,0.87176,0.59448,0.29204,0.82439,0.00970148,0.00970148,0.00970148
52,687.529,0.41987,0.30193,0.8072,0.99033,0.98575,0.99433,0.84491,0.6965,0.31755,0.84153,0.00968955,0.00968955,0.00968955
53,700.574,0.40651,0.29504,0.80703,0.98973,0.98389,0.99425,0.86608,0.61343,0.29277,0.82837,0.00967739,0.00967739,0.00967739
54,714.007,0.3969,0.28482,0.80343,0.99513,0.99058,0.99487,0.84682,0.64847,0.30561,0.83552,0.009665,0.009665,0.009665
