epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.54784,6.00779,5.51448,3.92865,0,0,0,0,5.88425,4.52626,3.26645,0.0919,0.0009,0.0009
2,10.9791,3.95316,3.87626,2.61246,0,0,0,0,3.37286,3.99518,2.34977,0.0828946,0.00189463,0.00189463
3,14.2973,3.3381,3.00556,2.14549,0,0,0,0,3.31027,4.45883,2.23287,0.0738836,0.00288359,0.00288359
4,17.8589,2.95622,2.46565,1.90238,0,0,0,0,6.81102,4.84187,20.8442,0.0648669,0.00386691,0.00386691
5,21.2457,2.47695,2.10446,1.65422,0,0,0,0,4.17056,5.22277,2.55396,0.0558446,0.00484456,0.00484456
6,24.645,2.22673,1.94581,1.51958,0,0,0,0,3.43196,5.77888,2.24044,0.0468166,0.00581656,0.00581656
7,28.2494,2.01487,1.84155,1.41951,0,0,0,0,5.88739,5.67768,7.9915,0.0377829,0.0067829,0.0067829
8,32.0707,1.88214,1.7397,1.31585,0,0,0,0,3.41989,6.69292,2.12217,0.0287436,0.00774358,0.00774358
9,35.686,1.75405,1.67875,1.26581,0.00321,0.00112,0.00183,0.00025,3.0006,6.80035,1.99737,0.0196986,0.00869861,0.00869861
10,39.1762,1.68316,1.60831,1.22332,0,0,0,0,5.69795,5.97711,6.33176,0.010648,0.00964797,0.00964797
11,42.5444,1.71167,1.62571,1.22065,0.06362,0.02443,0.03646,0.01889,3.5593,5.60583,2.76769,0.00971714,0.00971714,0.00971714
12,46.1606,1.69298,1.61812,1.20279,0.50485,0.0013,0.00146,0.00029,3.49262,7.61573,3.44214,0.00968886,0.00968886,0.00968886
13,49.5793,1.57602,1.53084,1.16798,0.06608,0.21055,0.07352,0.02936,2.46284,2.77172,1.63545,0.00966057,0.00966057,0.00966057
14,53.2145,1.48077,1.45944,1.13124,0.02946,0.06724,0.0174,0.00314,3.91977,3.75163,2.8461,0.00963229,0.00963229,0.00963229
15,57.09,1.41314,1.39089,1.11088,0.05981,0.41475,0.04172,0.01565,2.38368,3.80492,1.5173,0.009604,0.009604,0.009604
16,60.9844,1.38951,1.38563,1.10261,0.4393,0.05576,0.03526,0.01186,2.19843,3.87778,1.47641,0.00957571,0.00957571,0.00957571
17,64.4796,1.3677,1.37869,1.07957,0.00776,0.02475,0.00539,0.00093,4.31814,3.57207,3.38613,0.00954743,0.00954743,0.00954743
18,67.8916,1.376,1.33013,1.07409,0.02494,0.10726,0.01689,0.00431,3.81042,3.77083,2.37108,0.00951914,0.00951914,0.00951914
19,71.4517,1.33842,1.31168,1.07831,0.00914,0.09255,0.0074,0.00237,3.41099,3.79899,2.13672,0.00949086,0.00949086,0.00949086
20,74.9642,1.26056,1.25736,1.03795,0.01486,0.19517,0.01017,0.0026,2.67043,4.46551,1.67907,0.00946257,0.00946257,0.00946257
21,78.592,1.25827,1.22207,1.04067,0.06839,0.58457,0.07356,0.03037,2.04503,3.98049,1.32011,0.00943429,0.00943429,0.00943429
22,82.2567,1.24365,1.20747,1.02772,0.0988,0.70608,0.19541,0.10005,1.32547,2.9501,1.06655,0.009406,0.009406,0.009406
23,85.8404,1.20397,1.17422,1.02275,0.08667,0.3339,0.13983,0.08755,1.18284,3.47523,1.03217,0.00937771,0.00937771,0.00937771
24,89.3896,1.17167,1.15327,1.00402,0.52362,0.65396,0.58465,0.45241,0.90476,1.27969,0.93486,0.00934943,0.00934943,0.00934943
25,92.8552,1.15287,1.12888,1.01146,0.55136,0.71312,0.69124,0.50522,1.05794,1.0084,0.96589,0.00932114,0.00932114,0.00932114
26,96.3072,1.2438,1.18091,1.01989,0.58355,0.59888,0.59471,0.43563,0.96932,1.11826,0.95516,0.00929286,0.00929286,0.00929286
27,99.7933,1.1946,1.10952,1.00045,0.27333,0.54337,0.36319,0.21469,1.24862,1.78586,1.04053,0.00926457,0.00926457,0.00926457
28,103.197,1.13898,1.06131,0.9891,0.4155,0.63829,0.53371,0.36414,1.17043,1.59622,1.00307,0.00923629,0.00923629,0.00923629
29,106.654,1.11515,1.03778,0.9812,0.41362,0.71502,0.54117,0.4135,0.86118,1.30989,0.91344,0.009208,0.009208,0.009208
30,110.296,1.05635,1.00122,0.97063,0.60253,0.7357,0.75221,0.58695,0.81867,0.84654,0.90638,0.00917971,0.00917971,0.00917971
31,113.812,1.12104,1.01777,0.99024,0.67642,0.81103,0.79688,0.61485,0.88595,0.77057,0.92304,0.00915143,0.00915143,0.00915143
32,117.361,1.13682,1.03215,0.99265,0.50801,0.74316,0.60949,0.44841,0.89996,1.03631,0.91986,0.00912314,0.00912314,0.00912314
33,120.795,1.07341,1.00007,0.98008,0.60454,0.76695,0.74188,0.58996,0.81028,0.92273,0.90603,0.00909486,0.00909486,0.00909486
34,124.409,1.04346,0.97144,0.97034,0.57743,0.72072,0.67545,0.50657,0.88025,1.00908,0.91499,0.00906657,0.00906657,0.00906657
35,127.983,1.05401,1.00075,0.9657,0.59524,0.70553,0.69971,0.53973,0.81703,0.82011,0.9095,0.00903829,0.00903829,0.00903829
36,131.407,1.04253,0.95187,0.96077,0.45043,0.64567,0.54074,0.40674,0.86437,1.37065,0.91576,0.00901,0.00901,0.00901
37,134.99,1.01137,0.92027,0.95307,0.56699,0.74347,0.67597,0.50609,0.89331,0.84191,0.91955,0.00898171,0.00898171,0.00898171
38,138.605,0.96752,0.88,0.94619,0.63538,0.79463,0.76769,0.60982,0.80061,0.75195,0.89136,0.00895343,0.00895343,0.00895343
39,142.52,0.96973,0.86733,0.94216,0.63484,0.76915,0.77949,0.64385,0.67951,0.77453,0.86916,0.00892514,0.00892514,0.00892514
40,146.135,0.96583,0.89377,0.94354,0.60646,0.7824,0.74497,0.58283,0.78442,0.82951,0.88925,0.00889686,0.00889686,0.00889686
41,149.772,0.97568,0.88334,0.94328,0.69019,0.80615,0.79896,0.65449,0.70241,0.6991,0.87117,0.00886857,0.00886857,0.00886857
42,153.443,0.94043,0.8332,0.93765,0.6634,0.81062,0.77235,0.62741,0.71647,0.70063,0.87264,0.00884029,0.00884029,0.00884029
43,157.127,0.94438,0.82827,0.93241,0.74447,0.84414,0.85561,0.71395,0.66735,0.63886,0.85895,0.008812,0.008812,0.008812
44,160.659,0.97833,0.85836,0.9362,0.57074,0.77648,0.71683,0.53542,0.91889,0.83488,0.90989,0.00878371,0.00878371,0.00878371
45,164.202,0.95322,0.84385,0.94079,0.53676,0.77577,0.6826,0.56418,0.68214,0.8777,0.86399,0.00875543,0.00875543,0.00875543
46,167.79,0.92576,0.81565,0.92588,0.70009,0.73606,0.79906,0.66875,0.66761,0.71099,0.85925,0.00872714,0.00872714,0.00872714
47,171.51,0.93719,0.80918,0.9279,0.66624,0.76739,0.77459,0.64229,0.67444,0.82986,0.86118,0.00869886,0.00869886,0.00869886
48,175.299,0.94021,0.81366,0.9277,0.67729,0.83611,0.80824,0.66196,0.6976,0.71625,0.86087,0.00867057,0.00867057,0.00867057
49,178.965,0.95229,0.79766,0.93167,0.76885,0.78838,0.84599,0.70869,0.64974,0.59076,0.8544,0.00864229,0.00864229,0.00864229
50,182.631,0.92812,0.78045,0.92587,0.79457,0.79735,0.86926,0.706,0.75838,0.59997,0.86894,0.008614,0.008614,0.008614
51,186.232,0.93127,0.78788,0.92727,0.79041,0.81553,0.87374,0.71094,0.7372,0.61961,0.86451,0.00858571,0.00858571,0.00858571
52,190.012,0.94984,0.77659,0.92905,0.81979,0.81608,0.87954,0.72408,0.67674,0.60031,0.86387,0.00855743,0.00855743,0.00855743
53,193.711,0.96211,0.78321,0.93532,0.51022,0.70199,0.61917,0.50604,0.71016,1.08602,0.87286,0.00852914,0.00852914,0.00852914
54,197.25,0.91565,0.77177,0.92546,0.54561,0.69291,0.64318,0.525,0.71235,0.97614,0.86781,0.00850086,0.00850086,0.00850086
55,200.79,0.88631,0.72967,0.91453,0.4694,0.61449,0.59279,0.44503,0.90742,1.40901,0.89802,0.00847257,0.00847257,0.00847257
56,204.285,0.92895,0.76474,0.92015,0.76343,0.86605,0.89192,0.75056,0.64869,0.56526,0.8554,0.00844429,0.00844429,0.00844429
57,207.991,0.91678,0.77348,0.92016,0.78505,0.83886,0.89392,0.75311,0.63818,0.57957,0.84894,0.008416,0.008416,0.008416
