epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,978.399,4.93424,4.35723,3.19566,0,0,0,0,5.35461,4.37888,4.91133,0.0829,0.0019,0.0019
2,1063.45,2.81736,2.3135,1.88669,0,0,0,0,nan,nan,nan,0.064889,0.00388897,0.00388897
3,1121.43,2.22771,1.90851,1.5172,0,0,0,0,nan,nan,nan,0.0468666,0.00586662,0.00586662
4,1179.58,1.92586,1.6868,1.34167,0.05803,0.00709,0.03155,0.01512,3.45703,6.87453,2.37702,0.028833,0.00783296,0.00783296
5,1301.9,1.83205,1.63416,1.28131,0,0,0,0,4.6263,6.13173,7.74145,0.010788,0.00978799,0.00978799
6,1693.74,1.62048,1.49307,1.21644,0.42879,0.08111,0.01482,0.00603,2.56847,3.30822,1.66997,0.00985857,0.00985857,0.00985857
7,1798.77,1.54861,1.42528,1.15829,0,0,0,0,4.67615,5.31409,4.32571,0.00983029,0.00983029,0.00983029
8,1911.08,1.4339,1.3725,1.10252,0.00763,0.01034,0.00488,0.00082,4.39704,4.19795,2.90913,0.009802,0.009802,0.009802
9,1987.06,1.39089,1.28433,1.09018,0.00062,0.00021,0.00028,6e-05,4.26615,6.60071,2.64174,0.00977371,0.00977371,0.00977371
10,2048.32,1.36023,1.25335,1.07731,0.03222,0.30189,0.02568,0.00831,2.15423,4.12162,1.41783,0.00974543,0.00974543,0.00974543
11,2139.24,1.29758,1.17958,1.05476,0.03889,0.49773,0.04852,0.01848,1.77806,6.3507,1.20805,0.00971714,0.00971714,0.00971714
12,2204.19,1.27313,1.17644,1.05469,0.11857,0.40385,0.18071,0.10307,1.22845,2.5856,1.0501,0.00968886,0.00968886,0.00968886
13,2239.88,1.15778,1.10683,1.01713,0.03321,0.41374,0.04276,0.01492,1.7891,4.47071,1.20018,0.00966057,0.00966057,0.00966057
14,2287.5,1.13937,1.0392,1.00732,0.41741,0.65175,0.48371,0.31523,1.0756,1.47346,0.97156,0.00963229,0.00963229,0.00963229
15,2334.19,1.1488,1.02576,0.99631,0.60896,0.72551,0.70595,0.53887,0.88447,0.90738,0.93072,0.009604,0.009604,0.009604
16,2654.66,1.06361,0.94985,0.98229,0.42274,0.72685,0.55649,0.42366,0.85031,1.23442,0.91673,0.00957571,0.00957571,0.00957571
17,2744.96,1.11865,0.97833,0.98275,0.47579,0.64321,0.55908,0.41909,0.95508,1.19062,0.95469,0.00954743,0.00954743,0.00954743
18,2840.73,1.1241,0.95475,0.9856,0.76507,0.81689,0.84053,0.66113,0.79399,0.70881,0.89251,0.00951914,0.00951914,0.00951914
19,2949.65,1.06192,0.91886,0.96537,0.62079,0.81347,0.75026,0.57761,0.844,0.74178,0.90714,0.00949086,0.00949086,0.00949086
20,3024.46,1.02818,0.90244,0.97087,0.59395,0.67277,0.68175,0.51196,0.89535,0.92428,0.92151,0.00946257,0.00946257,0.00946257
21,3062.77,1.03546,0.89609,0.95908,0.63347,0.77273,0.74766,0.57904,0.82558,0.74621,0.90313,0.00943429,0.00943429,0.00943429
22,3095.02,1.04422,0.87227,0.95328,0.3375,0.56395,0.47868,0.36583,0.81077,1.54473,0.91116,0.009406,0.009406,0.009406
23,3487.43,0.99995,0.83799,0.94689,0.7667,0.81187,0.86821,0.69466,0.76313,0.64812,0.89399,0.00937771,0.00937771,0.00937771
