epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8137,5.13436,4.55444,3.53779,0,0,0,0,3.34001,4.1162,2.39317,0.0829,0.0019,0.0019
2,16.8483,3.09864,2.47747,2.10612,0,0,0,0,nan,nan,nan,0.064889,0.00388897,0.00388897
3,22.3422,2.50378,2.12451,1.65945,0,0,0,0,4.09945,6.18199,3.89221,0.0468666,0.00586662,0.00586662
4,27.6709,2.22225,1.90323,1.48884,0,0,0,0,4.79924,6.46131,2.78987,0.028833,0.00783296,0.00783296
5,33.2619,2.06705,1.81592,1.40417,0.02572,0.31817,0.05788,0.02626,2.54036,4.02564,1.83228,0.010788,0.00978799,0.00978799
6,38.9674,1.88844,1.69215,1.33146,0.02954,0.04649,0.01316,0.00472,3.02821,4.93837,2.55007,0.00985857,0.00985857,0.00985857
7,46.6275,1.75338,1.65682,1.26376,0.12408,0.09708,0.07251,0.02062,3.42615,inf,2.86856,0.00983029,0.00983029,0.00983029
8,52.3794,1.60627,1.54903,1.18931,0.8911,0.05313,0.03569,0.00927,2.82038,3.60894,2.05337,0.009802,0.009802,0.009802
9,57.8686,1.5411,1.48391,1.16271,0.36176,0.47297,0.42356,0.27573,1.23376,1.44049,1.06022,0.00977371,0.00977371,0.00977371
10,63.372,1.49719,1.43196,1.14416,0.12748,0.63634,0.23266,0.0944,2.18761,2.45728,1.56892,0.00974543,0.00974543,0.00974543
11,68.8084,1.44371,1.34681,1.11301,0.31374,0.46592,0.41317,0.2836,1.08652,1.59866,1.01045,0.00971714,0.00971714,0.00971714
12,74.3078,1.45097,1.35043,1.12077,0.35936,0.6441,0.51522,0.35041,1.10843,1.31672,1.01629,0.00968886,0.00968886,0.00968886
13,79.7539,1.31893,1.26989,1.07497,0.51469,0.69871,0.61587,0.42563,1.08456,1.05439,0.99467,0.00966057,0.00966057,0.00966057
14,85.3042,1.28076,1.2378,1.05886,0.4832,0.62447,0.57441,0.41497,0.98186,1.16818,0.96478,0.00963229,0.00963229,0.00963229
15,90.7052,1.27153,1.21146,1.045,0.58379,0.696,0.67148,0.49703,0.93468,0.99051,0.95823,0.009604,0.009604,0.009604
16,96.1689,1.22334,1.16009,1.03429,0.47769,0.70437,0.5975,0.44882,0.89983,1.09054,0.94493,0.00957571,0.00957571,0.00957571
17,101.564,1.20529,1.12391,1.01643,0.54206,0.65619,0.66106,0.5068,0.95035,1.08461,0.95676,0.00954743,0.00954743,0.00954743
18,106.996,1.20701,1.0938,1.01471,0.63207,0.7098,0.71181,0.55174,0.89157,0.98211,0.93402,0.00951914,0.00951914,0.00951914
19,112.579,1.17352,1.05587,1.00231,0.66557,0.71086,0.72771,0.5575,0.83817,0.87266,0.91985,0.00949086,0.00949086,0.00949086
20,117.987,1.10836,1.06746,0.99781,0.39469,0.60177,0.49287,0.37555,0.81725,1.32715,0.90856,0.00946257,0.00946257,0.00946257
21,123.349,1.08994,1.01681,0.98297,0.55694,0.81291,0.73587,0.5891,0.7566,0.79596,0.89353,0.00943429,0.00943429,0.00943429
22,128.741,1.08159,0.96587,0.96931,0.74254,0.7266,0.77312,0.58271,0.86936,0.76622,0.91795,0.009406,0.009406,0.009406
23,134.125,1.04611,0.94902,0.96637,0.6527,0.76705,0.79193,0.63808,0.75821,0.71357,0.89096,0.00937771,0.00937771,0.00937771
24,139.544,1.07557,0.97203,0.97491,0.62594,0.79309,0.75052,0.59135,0.75005,0.77848,0.8902,0.00934943,0.00934943,0.00934943
25,145.133,0.9926,0.89787,0.95344,0.61123,0.81969,0.74678,0.59316,0.75276,0.77025,0.8915,0.00932114,0.00932114,0.00932114
26,150.559,1.00832,0.90321,0.95907,0.52071,0.72598,0.67218,0.52326,0.82381,0.94067,0.90544,0.00929286,0.00929286,0.00929286
27,155.951,1.01008,0.90401,0.94792,0.70158,0.78981,0.79768,0.66392,0.68695,0.69283,0.87308,0.00926457,0.00926457,0.00926457
28,161.395,1.04673,0.90027,0.95416,0.72962,0.84185,0.86754,0.7137,0.6965,0.63485,0.86485,0.00923629,0.00923629,0.00923629
29,166.871,1.00267,0.84818,0.94535,0.6435,0.83428,0.78763,0.64274,0.74935,0.72792,0.87486,0.009208,0.009208,0.009208
30,172.328,1.02025,0.88714,0.95514,0.64988,0.77537,0.77562,0.64285,0.69681,0.76029,0.87137,0.00917971,0.00917971,0.00917971
31,177.918,0.97427,0.85094,0.94207,0.67526,0.61714,0.69864,0.54628,0.85871,1.08071,0.92773,0.00915143,0.00915143,0.00915143
32,183.315,0.93307,0.79809,0.93521,0.67351,0.77289,0.81468,0.64929,0.72867,0.66652,0.88004,0.00912314,0.00912314,0.00912314
33,188.735,0.91636,0.79147,0.92871,0.70779,0.80369,0.82607,0.69745,0.6428,0.61629,0.85762,0.00909486,0.00909486,0.00909486
34,194.17,0.94211,0.79358,0.92992,0.70592,0.78113,0.79911,0.61876,0.80567,0.69196,0.90005,0.00906657,0.00906657,0.00906657
35,199.573,1.03055,0.82499,0.94738,0.70034,0.79654,0.81979,0.67083,0.72801,0.64795,0.86745,0.00903829,0.00903829,0.00903829
36,205.035,0.92961,0.77252,0.93309,0.76855,0.86215,0.89262,0.74751,0.64915,0.56542,0.85799,0.00901,0.00901,0.00901
37,210.696,0.92881,0.75202,0.92528,0.75765,0.86868,0.90121,0.73489,0.71802,0.57812,0.86795,0.00898171,0.00898171,0.00898171
38,216.13,0.94497,0.7506,0.93028,0.70898,0.8241,0.83772,0.70351,0.65599,0.64878,0.85369,0.00895343,0.00895343,0.00895343
39,221.57,0.87071,0.70443,0.90837,0.75132,0.8345,0.86253,0.72601,0.64535,0.56807,0.85102,0.00892514,0.00892514,0.00892514
40,226.988,0.89651,0.70921,0.91279,0.82395,0.88408,0.92799,0.7903,0.60143,0.50647,0.84309,0.00889686,0.00889686,0.00889686
41,232.492,0.90008,0.72567,0.91526,0.79205,0.82483,0.87769,0.74068,0.61565,0.54878,0.85208,0.00886857,0.00886857,0.00886857
