epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.64911,5.12736,4.55136,3.53697,0,0,0,0,3.0893,4.14344,2.41382,0.0829,0.0019,0.0019
2,14.4665,3.18847,2.53756,2.14977,0,0,0,0,nan,nan,nan,0.064889,0.00388897,0.00388897
3,19.9306,2.43874,2.06361,1.63999,0,0,0,0,3.69686,6.09892,2.40152,0.0468666,0.00586662,0.00586662
4,25.251,2.1788,1.89006,1.46895,0,0,0,0,3.55821,6.93803,2.25197,0.028833,0.00783296,0.00783296
5,30.7608,2.05329,1.83391,1.38006,0.02232,0.14152,0.02764,0.01261,3.11768,3.97189,2.44918,0.010788,0.00978799,0.00978799
6,36.3899,1.83768,1.69588,1.30879,0.00829,0.13757,0.00839,0.0033,3.30407,3.83615,2.20152,0.00985857,0.00985857,0.00985857
7,41.8643,1.74537,1.59617,1.24472,0.09745,0.15322,0.01467,0.00564,2.87465,4.91572,2.13518,0.00983029,0.00983029,0.00983029
8,47.4417,1.66008,1.56365,1.19032,0.05046,0.37923,0.04709,0.01668,2.30783,3.62863,1.54192,0.009802,0.009802,0.009802
9,52.9427,1.60004,1.47464,1.17408,0.12347,0.63804,0.15933,0.0701,1.79062,2.60888,1.25861,0.00977371,0.00977371,0.00977371
10,58.3541,1.45747,1.39787,1.12584,0.10633,0.54256,0.11842,0.05002,1.86735,2.91968,1.25133,0.00974543,0.00974543,0.00974543
11,63.812,1.39934,1.33834,1.10193,0.06185,0.54924,0.09208,0.03502,1.96974,3.3138,1.28689,0.00971714,0.00971714,0.00971714
12,69.2813,1.36822,1.36924,1.09863,0.06277,0.36309,0.07868,0.02395,2.05412,3.62351,1.32176,0.00968886,0.00968886,0.00968886
13,74.7737,1.27696,1.28326,1.06383,0.42606,0.57288,0.484,0.35064,1.00735,1.44321,0.9777,0.00966057,0.00966057,0.00966057
14,80.2535,1.23668,1.19312,1.04686,0.38784,0.63115,0.48385,0.31614,1.09581,1.45142,0.98619,0.00963229,0.00963229,0.00963229
15,85.654,1.25989,1.16254,1.03626,0.49638,0.66422,0.61787,0.43517,1.05025,1.04887,0.98084,0.009604,0.009604,0.009604
16,91.0692,1.17601,1.11229,1.02122,0.5971,0.58641,0.62417,0.48157,0.84083,0.99465,0.92537,0.00957571,0.00957571,0.00957571
17,96.4482,1.21433,1.10916,1.01879,0.49682,0.71033,0.62949,0.48533,0.86334,1.01754,0.92292,0.00954743,0.00954743,0.00954743
18,101.861,1.17529,1.0503,1.00322,0.60959,0.78125,0.76818,0.58918,0.90892,0.88366,0.93567,0.00951914,0.00951914,0.00951914
19,107.358,1.14823,1.04074,0.99617,0.52013,0.5838,0.57575,0.44455,0.87619,1.21419,0.93026,0.00949086,0.00949086,0.00949086
20,112.7,1.12263,1.04873,1.00256,0.53252,0.73631,0.71273,0.55536,0.8034,0.94646,0.90328,0.00946257,0.00946257,0.00946257
21,118.071,1.08004,1.0078,0.97844,0.613,0.79935,0.75743,0.60505,0.77048,0.78664,0.89756,0.00943429,0.00943429,0.00943429
22,123.509,1.07302,0.95598,0.96851,0.56415,0.69069,0.69687,0.55315,0.80121,0.97938,0.90877,0.009406,0.009406,0.009406
23,128.868,1.06626,0.9633,0.96955,0.70016,0.83593,0.81459,0.66893,0.71129,0.69024,0.88017,0.00937771,0.00937771,0.00937771
24,134.333,1.09431,0.98324,0.98124,0.43918,0.65989,0.57594,0.43742,0.88659,1.31171,0.91392,0.00934943,0.00934943,0.00934943
25,139.859,1.01876,0.9411,0.96144,0.50161,0.70235,0.62364,0.49509,0.76741,0.96931,0.89623,0.00932114,0.00932114,0.00932114
26,145.232,0.97646,0.87835,0.95279,0.6359,0.79007,0.77214,0.61136,0.75161,0.70939,0.88466,0.00929286,0.00929286,0.00929286
27,150.551,0.99148,0.87296,0.94565,0.62103,0.81936,0.76059,0.63374,0.66511,0.66839,0.86549,0.00926457,0.00926457,0.00926457
28,155.927,0.96532,0.85721,0.93525,0.7513,0.83574,0.85879,0.71553,0.68111,0.60164,0.86214,0.00923629,0.00923629,0.00923629
29,161.353,0.95305,0.8134,0.93288,0.726,0.81149,0.84558,0.70689,0.65145,0.61734,0.86301,0.009208,0.009208,0.009208
30,166.73,0.95899,0.83514,0.93995,0.7166,0.81019,0.84742,0.70881,0.68595,0.62036,0.85987,0.00917971,0.00917971,0.00917971
31,172.268,0.94625,0.82497,0.92994,0.66822,0.81471,0.80447,0.66102,0.73425,0.67627,0.86984,0.00915143,0.00915143,0.00915143
32,177.644,0.91196,0.77649,0.92916,0.75934,0.86606,0.89112,0.73668,0.70823,0.60018,0.86561,0.00912314,0.00912314,0.00912314
33,183.021,0.89468,0.78624,0.92226,0.78213,0.84429,0.87656,0.7385,0.63977,0.54038,0.85446,0.00909486,0.00909486,0.00909486
34,188.431,0.90743,0.78257,0.92072,0.82194,0.8472,0.9066,0.74697,0.70475,0.54839,0.86895,0.00906657,0.00906657,0.00906657
